250020035-7,7,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.118975,5.881192
250020035-8,8,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.118998,5.881345
250020035-9,9,Rue Jouffroy d'Abbans,25440,Abbans-Dessus,OSM,47.119508,5.881386
250020037-1,1,Impasse du Monument,25440,Abbans-Dessus,OSM,47.119473,5.880991
250020039-3,3,Chemin du Postulant,25440,Abbans-Dessus,OSM,47.125355,5.883496
250020040-1,1,Route de Quingey,25440,Abbans-Dessus,OSM,47.113643,5.876578
250020040-10,10,Route de Quingey,25440,Abbans-Dessus,OSM,47.115891,5.876908
250020040-12,12,Route de Quingey,25440,Abbans-Dessus,OSM,47.116566,5.877067
250020040-14,14,Route de Quingey,25440,Abbans-Dessus,OSM,47.116924,5.877451
250020040-2,2,Route de Quingey,25440,Abbans-Dessus,OSM,47.113757,5.876881
250020040-3,3,Route de Quingey,25440,Abbans-Dessus,BAN,47.11526,5.877541
250020040-4,4,Route de Quingey,25440,Abbans-Dessus,OSM,47.11419,5.876593
250020040-7,7,Route de Quingey,25440,Abbans-Dessus,OSM,47.116117,5.87686
250020042-1,1,Rue du Ranchot,25440,Abbans-Dessus,BAN,47.120928,5.882245
250020042-10,10,Rue du Ranchot,25440,Abbans-Dessus,OSM,47.121249,5.882519
250020042-4,4,Rue du Ranchot,25440,Abbans-Dessus,OSM,47.120924,5.882411
250020042-6,6,Rue du Ranchot,25440,Abbans-Dessus,OSM,47.120993,5.882423
250020042-8,8,Rue du Ranchot,25440,Abbans-Dessus,OSM,47.12108,5.882437
250020045-1,1,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.116974,5.876674
250020045-10,10,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.11747,5.877479
250020045-10B,10 bis,Rue Saint-Martin,25440,Abbans-Dessus,BAN,47.117445,5.878026
250020045-11,11,Rue Saint-Martin,25440,Abbans-Dessus,BAN,47.117192,5.87684
250020045-12,12,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.117245,5.876716
250020045-12B,12BIS,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.117096,5.876546
250020045-14,14,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.117011,5.876226
250020045-16,16,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.116963,5.875948
250020045-18,18,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.116815,5.875532
250020045-18A,18 a,Rue Saint-Martin,25440,Abbans-Dessus,BAN,47.11668,5.874953
250020045-18B,18BIS,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.116703,5.875279
250020045-2,2,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.117502,5.880081
250020045-20,20,Rue Saint-Martin,25440,Abbans-Dessus,BAN,47.116677,5.874836
250020045-22,22,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.116645,5.874367
250020045-24,24,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.116412,5.874132
250020045-3,3,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.116821,5.875913
250020045-4,4,Rue Saint-Martin,25440,Abbans-Dessus,BAN,47.117229,5.880643
250020045-5,5,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.11674,5.875508
250020045-5B,5 bis,Rue Saint-Martin,25440,Abbans-Dessus,BAN,47.116616,5.876739
250020045-6,6,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.117442,5.878319
250020045-7,7,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.116602,5.874871
250020045-8,8,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.117485,5.877663
250020045-9,9,Rue Saint-Martin,25440,Abbans-Dessus,OSM,47.116434,5.874252
250020048-5,5,Rue du Signal,25440,Abbans-Dessus,OSM,47.117687,5.882118
250020060-10,10,Impasse des Vignes,25440,Abbans-Dessus,OSM,47.114512,5.879253
250020060-12,12,Impasse des Vignes,25440,Abbans-Dessus,OSM,47.114281,5.879159
250020060-2,2,Impasse des Vignes,25440,Abbans-Dessus,OSM,47.115822,5.879211
250020060-4,4,Impasse des Vignes,25440,Abbans-Dessus,OSM,47.115416,5.87953
25002B038-1,1,Champs Limbas,25440,Abbans-Dessus,BAN,47.115168,5.875428
25002B038-2,2,Champs Limbas,25440,Abbans-Dessus,BAN,47.115964,5.877392
25002B038-3,3,Champs Limbas,25440,Abbans-Dessus,BAN,47.114619,5.878035
25002B038-4,4,Champs Limbas,25440,Abbans-Dessus,BAN,47.115964,5.877392
25002B038-5,5,Champs Limbas,25440,Abbans-Dessus,BAN,47.114619,5.878035
